"id","biz_focus","internet","time.1","time.2"
"S001","forward","high",7.54461929529665,9.71145794011495
"S002","forward","high",7.56602152676232,10.2370062514367
"S003","forward","high",5.93051435993184,9.18305921166751
"S004","forward","high",6.7732506783744,10.4951664237254
"S005","forward","high",7.62174813424695,8.68935571516054
"S006","forward","high",8.10704890640817,10.2653401775158
"S007","forward","high",6.79841138355494,9.75216574681602
"S008","forward","high",7.91462841545952,9.9141849651032
"S009","forward","high",8.58367124280874,10.7145756849435
"S010","forward","high",6.65878178339148,9.27371478501158
"S011","forward","high",9.90137292140763,10.891754641729
"S012","forward","high",7.67713190424759,9.37641074740424
"S013","forward","high",6.75184301479029,9.66527756565728
"S014","forward","high",7.82519481433456,8.13060693311065
"S015","forward","high",5.6483885918889,8.23469346431753
"S016","forward","high",6.70791419438336,9.67670840524234
"S017","forward","high",6.87372968527167,8.58825605639852
"S018","forward","high",6.3065345051155,9.71059269046615
"S019","forward","high",7.4213664782951,10.5613438679928
"S020","forward","high",7.63892701823191,9.86925913633171
"S021","forward","high",6.58668596394098,12.0859779459997
"S022","forward","high",7.69775459149464,9.33750972730646
"S023","forward","high",5.64963240475352,10.4552458031867
"S024","forward","high",7.01539067575059,11.3716701171014
"S025","forward","high",8.06135435196159,10.6611375413098
"S026","forward","high",5.20511410906889,9.24607261767014
"S027","forward","high",6.90767343206744,9.06809640025142
"S028","forward","high",5.6831534769812,11.4007111772506
"S029","forward","high",7.15816607737674,9.71734241888108
"S030","forward","high",6.84591858458249,11.4414902617871
"S031","forward","high",6.25896901564771,9.95950102600627
"S032","forward","high",8.00697053181114,10.8107018692896
"S033","forward","high",6.04974279466079,9.40663717576452
"S034","forward","high",7.03821289657728,10.3053916949988
"S035","forward","high",6.42450197425806,10.9768907849876
"S036","forward","high",7.50423761955648,9.73280636798897
"S037","forward","high",6.65724942822282,9.07721207968952
"S038","forward","high",6.87593849457879,9.95299831454234
"S039","forward","high",6.93695747335472,10.8044459921966
"S040","forward","high",7.70787714241247,10.7237507476209
"S041","forward","high",5.56598884577403,9.91914040692672
"S042","forward","high",8.7296558651959,8.47019334372043
"S043","forward","high",8.40212501833999,11.0446437138799
"S044","forward","high",7.81474791982205,9.73794453764732
"S045","forward","high",8.17789112950716,10.716139456982
"S046","forward","high",7.31110223764717,9.68666335565061
"S047","forward","high",5.8632773893131,12.1846964817445
"S048","forward","high",6.52260287841601,9.24926318661747
"S049","forward","high",7.50444391034815,10.4726464467355
"S050","forward","high",7.93155117178069,9.83293744870678
"S051","forward","medium",5.53050412425453,7.67202873899949
"S052","forward","medium",3.27463341228081,6.58774376847211
"S053","forward","medium",1.97284467974081,6.37399292767908
"S054","forward","medium",4.74191493666454,8.16324763455933
"S055","forward","medium",5.03742986073303,6.4708887624374
"S056","forward","medium",5.23902575216534,6.62785412431485
"S057","forward","medium",4.94439273860393,6.80666413119957
"S058","forward","medium",4.87283614512856,8.12177529929948
"S059","forward","medium",5.06568860995097,5.57519673808517
"S060","forward","medium",4.2343668030625,8.74452871596565
"S061","forward","medium",3.72027960141926,5.974953674113
"S062","forward","medium",5.03053256662061,6.25531959735296
"S063","forward","medium",4.15600834698432,7.45187831070885
"S064","forward","medium",2.00945349741752,5.68619197014639
"S065","forward","medium",4.49737419975861,7.32500796968062
"S066","forward","medium",4.00108918477985,6.50797792086588
"S067","forward","medium",1.93491261864564,6.96450969660186
"S068","forward","medium",2.33335924917849,8.43042751594587
"S069","forward","medium",4.32486948369307,8.10224426867773
"S070","forward","medium",3.81495762804504,8.36190336657939
"S071","forward","medium",4.47052376514903,6.93883644220444
"S072","forward","medium",2.60065639036447,5.48073021295923
"S073","forward","medium",4.87356368645555,6.54486689705117
"S074","forward","medium",5.26344797428397,7.58422795592395
"S075","forward","medium",4.24562551452259,8.65343569717921
"S076","forward","medium",2.61203857926874,7.14742381760506
"S077","forward","medium",3.94635389288572,7.01130906355649
"S078","forward","medium",4.00292757024377,5.16013872809007
"S079","forward","medium",5.4674302809398,6.16324140669347
"S080","forward","medium",4.11986070824017,7.3571939133091
"S081","forward","medium",3.41440223974978,7.55019495181102
"S082","forward","medium",4.44507936902107,7.25137460830833
"S083","forward","medium",3.29808677767549,7.78175694476839
"S084","forward","medium",5.18651220932369,7.11128998323117
"S085","forward","medium",2.09561117341194,6.08586574264685
"S086","forward","medium",3.38034435103487,6.62854520232481
"S087","forward","medium",6.16945705950303,7.0354668414747
"S088","forward","medium",5.88532338450724,7.51828035237105
"S089","forward","medium",3.81506711284279,8.49856376945731
"S090","forward","medium",4.28558796284775,7.64630167618766
"S091","forward","medium",3.12079860963116,8.76894130380037
"S092","forward","medium",5.91036337477615,6.73308521923742
"S093","forward","medium",3.60120475880078,5.52385204139341
"S094","forward","medium",3.95473600570103,8.36521321971612
"S095","forward","medium",4.60977541375463,7.69752302724078
"S096","forward","medium",4.09622691164078,5.4362098981989
"S097","forward","medium",2.88837333578443,7.51609722274239
"S098","forward","medium",3.85414707374194,7.2812639845584
"S099","forward","medium",3.246549620235,8.59280453996882
"S100","forward","medium",2.59224211846774,9.34921387889298
"S101","forward","low",2.5224764028538,6.43760213326591
"S102","forward","low",2.49535894895484,5.3284044349101
"S103","forward","low",1.13113466355417,5.50123931554487
"S104","forward","low",0.369410278821574,5.88046404080231
"S105","forward","low",2.32366426586579,3.15864786912819
"S106","forward","low",3.06724603014418,6.0078186697006
"S107","forward","low",1.52867391621601,4.77985407588937
"S108","forward","low",2.53700834137686,4.9068021090862
"S109","forward","low",0.507158739077561,3.75469372715338
"S110","forward","low",2.83677137191173,4.7630555964915
"S111","forward","low",0.670135422841367,4.42313955165662
"S112","forward","low",2.28315697524468,6.04017817080486
"S113","forward","low",0.518672507575507,4.33758809299173
"S114","forward","low",3.48677295105904,4.61227392372148
"S115","forward","low",2.8328494500908,4.66731613496541
"S116","forward","low",2.0431909625076,4.10906135166517
"S117","forward","low",1.68600722680227,4.50330402818514
"S118","forward","low",2.41325358744643,6.2361523978994
"S119","forward","low",1.97842355459453,5.0254662106184
"S120","forward","low",1.9733637549102,5.58492139964552
"S121","forward","low",1.26763266021599,6.18411777152465
"S122","forward","low",2.43205053504974,6.81887353814225
"S123","forward","low",2.18332757560437,4.08822504015179
"S124","forward","low",1.93382566408145,4.90640484901976
"S125","forward","low",1.37288180447535,5.73224842478843
"S126","forward","low",1.2726022723841,5.68258643086488
"S127","forward","low",1.14610654755311,4.07773395856666
"S128","forward","low",2.58762115620635,4.96400611612151
"S129","forward","low",2.23474507744813,4.29838452649832
"S130","forward","low",1.81775097999248,3.84898399455681
"S131","forward","low",0.362512543079549,6.64786270223142
"S132","forward","low",1.21322344435731,4.36898188154846
"S133","forward","low",1.77424243925402,5.47288054920528
"S134","forward","low",2.73253185766085,5.94388091291604
"S135","forward","low",1.63070624284371,5.52794947045231
"S136","forward","low",4.79087989824301,4.56830298667407
"S137","forward","low",3.81119832846429,5.95955178885144
"S138","forward","low",1.45631712271429,5.77626563295125
"S139","forward","low",1.58621347717641,5.14858730721087
"S140","forward","low",1.6654065880424,4.28035377536376
"S141","forward","low",3.8652015021633,4.4567949073068
"S142","forward","low",3.12439670060425,5.29011079134462
"S143","forward","low",0.995041597064434,7.50990677458358
"S144","forward","low",1.91780366486253,3.98530949643074
"S145","forward","low",1.84303493464892,4.93699488754145
"S146","forward","low",2.96083518362924,4.74811876232209
"S147","forward","low",-0.144514760764628,5.91067660472638
"S148","forward","low",1.03510301671488,4.60531490633815
"S149","forward","low",0.582686130318729,4.92280948911802
"S150","forward","low",0.390303077588046,4.861156064162
"S151","traditional","high",5.10486642555408,4.89477506239371
"S152","traditional","high",4.32584450945467,2.96994317375893
"S153","traditional","high",2.99945562081046,3.49682442995458
"S154","traditional","high",4.17794883607209,2.85231028726775
"S155","traditional","high",5.32948811774453,5.96627322289305
"S156","traditional","high",4.71314023130953,3.61643719607096
"S157","traditional","high",4.7792160310686,2.90326137240848
"S158","traditional","high",4.37012991363398,2.8132836027212
"S159","traditional","high",2.86409722263786,2.66039645485193
"S160","traditional","high",4.52237125256325,3.50652980334439
"S161","traditional","high",2.7743171948156,-0.116869039455652
"S162","traditional","high",4.31862140801232,2.11463068741107
"S163","traditional","high",3.52809773953858,2.27913733965272
"S164","traditional","high",3.36254593007139,3.4760220745818
"S165","traditional","high",3.15013718226357,1.77082458469596
"S166","traditional","high",4.09909612165016,2.2415165063053
"S167","traditional","high",6.60143352863028,3.62756410404583
"S168","traditional","high",3.37054334387635,1.96190444639666
"S169","traditional","high",4.48062966801298,3.67540839287553
"S170","traditional","high",2.60647636028678,1.81170916367949
"S171","traditional","high",4.10907115067891,3.1783307444849
"S172","traditional","high",4.24828747441281,2.98197746758632
"S173","traditional","high",3.28185738016245,3.68199792603888
"S174","traditional","high",3.60487400031031,3.1049975198627
"S175","traditional","high",3.18299472735906,2.70456992514632
"S176","traditional","high",4.95026445328983,2.99499574331079
"S177","traditional","high",4.19426474211022,3.99814765608117
"S178","traditional","high",3.36484220536335,4.62481724084762
"S179","traditional","high",3.0043213571271,3.98444316958438
"S180","traditional","high",5.19550574369923,3.34784211431729
"S181","traditional","high",4.38272578824077,3.05784035084241
"S182","traditional","high",4.7544201804972,3.31133005189653
"S183","traditional","high",3.34346141319934,2.47827559880738
"S184","traditional","high",2.3894321823773,1.40679498195295
"S185","traditional","high",2.95639667404261,3.45866244609069
"S186","traditional","high",3.3501078647514,3.1983571868968
"S187","traditional","high",3.8444885114533,3.04406202810174
"S188","traditional","high",4.18410829424586,3.21289114954232
"S189","traditional","high",1.76693891801572,3.63318723677819
"S190","traditional","high",4.29337291912788,2.01499956050721
"S191","traditional","high",4.55009015038142,4.03238865585671
"S192","traditional","high",4.35849229808837,2.73762655650565
"S193","traditional","high",3.68692616556658,3.95266676881715
"S194","traditional","high",4.01708989478033,2.6771773952751
"S195","traditional","high",5.44633317808987,2.47770881594843
"S196","traditional","high",3.93959834013851,4.22808351834006
"S197","traditional","high",3.37495329665322,2.31752928849275
"S198","traditional","high",3.06858343406928,2.9982637999933
"S199","traditional","high",5.47589175755472,1.75351294930081
"S200","traditional","high",4.21699541423814,2.55160506057931
"S201","traditional","medium",2.87806758823668,1.02265119719803
"S202","traditional","medium",3.0284393306278,2.65146211425856
"S203","traditional","medium",2.78020345138241,4.43553158447917
"S204","traditional","medium",3.09626746753202,2.27166378516219
"S205","traditional","medium",2.07204422960439,4.54464030987667
"S206","traditional","medium",1.05168900652312,2.70111612051296
"S207","traditional","medium",4.11035675492932,1.12231392508704
"S208","traditional","medium",2.82822807024731,2.30649035376884
"S209","traditional","medium",3.43548977840032,1.72031391138705
"S210","traditional","medium",1.11169947060888,2.71708924969339
"S211","traditional","medium",3.47773931693664,3.66270915714005
"S212","traditional","medium",3.59227517403855,3.89419128071218
"S213","traditional","medium",0.951344438795716,2.74676105662409
"S214","traditional","medium",4.04294966418015,2.65131864691799
"S215","traditional","medium",3.32277633505429,1.68616660596064
"S216","traditional","medium",3.33178348336525,3.49358885309412
"S217","traditional","medium",3.61701877306332,2.70284108484591
"S218","traditional","medium",5.37518717311234,3.65048633724812
"S219","traditional","medium",3.21517007171227,5.34557350692346
