"gender","temporality","expectability","relativity","positive"
"women",4.69965122478418,6,0.591369490968161,3.69823360250937
"women",4.21569934750155,5,4.39857668033675,-0.225702692491281
"women",4.58640182917653,3,2.57286758092699,1.22365885481631
"women",4.3317626176331,1,1.34714219975534,1.79518497721566
"women",4.25983248714103,2,2.44681561198068,2.2020664777589
"women",4.66096011309361,5,3.77577534075076,2.55289068214313
"women",4.03657857291748,5,5.45409939348978,3.01972518486777
"women",4.5307570108607,0,4.19812533291837,2.61451557192251
"women",3.20871378877985,5,2.96740886187248,4.86107199345191
"women",3.57667068155335,6,8.60017990773146,4.23954051188751
"women",4.46192269161345,3,5.43106797199278,-0.348035387007276
"women",4.16509330061288,6,4.3068173127295,4.6481058162135
"women",3.2389613490654,0,4.1714034335776,5.98561855571039
"women",4.20025368041468,5,5.01171206520194,0.943172250148578
"women",3.39982238589762,5,9.57635521607406,0.882650629260078
"women",4.57109566312543,5,1.43290901340625,1.77488247193104
"women",3.98252168019885,7,3.97033341469072,2.3057686489777
"women",4.93860820864517,0,4.38929629231266,2.70069175425579
"women",4.54947392948756,5,3.37729223732199,2.37824032750442
"women",4.36989481136375,5,4.69300037448926,1.38050394053912
"women",4.01611735560791,6,-0.119352083551737,3.29883144008988
"women",5.10218129380456,7,3.41471950709277,1.60685326611253
"women",3.7815909373853,3,7.1752610193572,1.96271342871864
"women",4.3868286361556,2,6.22604764465209,4.1153116434645
"women",3.89027758521526,5,-0.384814247056982,4.04628984748616
"women",4.17856432992811,5,8.61424725338801,2.98255047590937
"women",4.30497099835042,2,4.44757776346144,0.237479288253512
"women",4.17243250116335,3,5.04487771878902,3.9393120607647
"women",3.95632098523535,5,3.36946509252401,1.15647450653975
"women",4.71176125173103,2,3.90424315531286,2.51680168822156
"women",4.45357542066891,3,6.82370013217566,1.90343413648638
"women",3.90267441193001,3,5.12607383010127,2.47324761118676
"women",4.79692239073041,2,-0.624652551864635,3.21529940460469
"women",3.77443868127863,5,6.89095197733057,1.99621201918805
"women",4.29858658924466,6,0.849923645560464,4.36825725529506
"women",4.06583936846743,NA,1.21257773304621,3.17593479736088
"women",3.75698441834986,5,4.73555451600502,2.66031252278561
"women",3.58064268788438,4,3.42776662937721,2.7667609956464
"women",4.88020269627835,5,1.70848093456703,3.7029723639064
"women",4.49757981804556,8,5.79406947431205,1.33297846747151
"women",4.86670610050421,5,2.77567968139717,0.543984324114495
"women",3.35732241171643,3,2.92935804681788,1.05307982035292
"women",4.48937061949838,1,4.01218986287951,4.10802089096825
"women",4.51022444713788,6,4.30702730406117,3.36873909558819
"women",4.10765708090545,6,4.57292049451025,1.7668607211434
"women",3.53201551966387,5,4.29408595102317,3.48242135107956
"women",4.03058575214105,3,7.18985461061926,2.40487613233707
"women",4.25622678146927,2,4.30400197568564,0.873393827708108
"women",3.69713811968485,3,3.93171875162232,3.54622814115063
"women",4.42921328086556,2,3.47073580504382,1.94145874735708
"women",4.50190872937658,0,2.04841399954444,4.01426705766234
"women",3.82713989238037,2,5.05367258945209,2.67227571405861
"women",4.0175915952869,6,4.23787121662089,3.00869979499996
"women",4.74989061527112,7,3.75839391565628,0.320029050368217
"women",4.57526996006627,3,5.00034747221757,2.56867373328423
"women",4.35133618331794,4,5.06172242400187,2.86147073664827
"women",5.18397433370096,7,-1.65232426464172,3.33610381350811
"women",4.43131938206386,5,8.94869561494285,1.81266922624766
"women",3.94242795304383,2,3.75954023756025,2.08255157437695
"women",3.6770046042647,2,5.42002605560611,5.26543128826039
"women",4.85976140304925,4,-0.111145087274569,1.94451048942241
"women",4.81416779245885,6,2.09397131269763,1.99235838702287
"women",3.92302441527714,3,3.63868050450619,3.07207844645368
"women",4.23070239389088,3,5.22993429340981,2.38612046030445
"women",4.30420776570584,6,4.44685086087482,4.26441468320786
"women",4.33921899713028,6,-1.37694418876355,1.88682512388419
"women",4.16191452526729,5,3.1767819356031,3.07818202423373
"women",3.9659887275951,2,3.15453440774474,3.71738134845846
"women",3.62507639978621,2,3.56737128593162,6.49627651013513
"women",3.68723344428095,5,4.26274104889914,3.50223575935386
"women",4.84763189863471,3,5.84936129772974,3.07886336799706
"women",NA,5,5.46348563451175,3.87891782374872
"women",4.47868249514909,1,3.30240534652976,1.78032982709355
"women",4.37987702078588,3,3.47990414550917,4.8911060169725
"women",4.19634755989784,3,3.94042455011212,2.64509996976115
